chain,token_address,token_symbol,condition,target_price_usd,label
ethereum,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,above,4000,ETH breakout $4K
ethereum,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,below,2500,ETH support $2.5K
ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,above,100000,BTC $100K breakout
ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,below,75000,BTC $75K support
ethereum,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,above,300,AAVE $300 target
ethereum,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,below,150,AAVE $150 support
ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,above,15,UNI $15 breakout
ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,below,7,UNI $7 support
ethereum,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV,above,1.0,CRV $1 breakout
ethereum,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV,below,0.40,CRV $0.40 support
ethereum,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,above,100,COMP $100 target
ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,LINK,above,25,LINK $25 breakout
ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,LINK,below,12,LINK $12 support
ethereum,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,above,2000,MKR $2K target
ethereum,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,below,1200,MKR $1.2K support
ethereum,0xba100000625a3754423978a60c9317c58a424e3d,BAL,above,5,BAL $5 breakout
ethereum,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,YFI,above,12000,YFI $12K target
ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,below,0.985,DAI depeg warning
ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,below,0.985,USDC depeg warning
ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,below,0.985,USDT depeg warning
ethereum,0x4d224452801aced8b2f0aebe155379bb5d594381,APE,above,2.0,APE $2 breakout
ethereum,0x4d224452801aced8b2f0aebe155379bb5d594381,APE,below,0.80,APE $0.80 support
ethereum,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,AXS,above,10,AXS $10 target
ethereum,0x0d8775f648430679a709e98d2b0cb6250d2887ef,BAT,above,0.40,BAT $0.40 breakout
ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,above,0.00003,SHIB ATH target
ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,below,0.000010,SHIB support
ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,PEPE,above,0.00002,PEPE ATH target
ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,PEPE,below,0.000007,PEPE support
ethereum,0x58b6a8a3302369daec383334672404ee733ab239,LPT,above,15,LPT $15 target
ethereum,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,ENS,above,30,ENS $30 breakout
ethereum,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,ENS,below,12,ENS $12 support
ethereum,0x808507121b80c02388fad14726482e061b8da827,PENDLE,above,5,PENDLE $5 target
ethereum,0x808507121b80c02388fad14726482e061b8da827,PENDLE,below,2,PENDLE $2 support
ethereum,0xae78736cd615f374d3085123a210448e74fc6393,RETH,above,4200,rETH $4.2K target
ethereum,0xae78736cd615f374d3085123a210448e74fc6393,RETH,below,2600,rETH $2.6K support
arbitrum,0x912ce59144191c1204e64559fe8253a0e49e6548,ARB,above,1.5,ARB $1.5 breakout
arbitrum,0x912ce59144191c1204e64559fe8253a0e49e6548,ARB,below,0.60,ARB $0.60 support
arbitrum,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,GMX,above,50,GMX $50 target
arbitrum,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,GMX,below,25,GMX $25 support
base,0x4200000000000000000000000000000000000006,WETH,above,4000,Base ETH $4K
base,0x4200000000000000000000000000000000000006,WETH,below,2500,Base ETH support
bsc,0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,above,4000,BSC ETH $4K
bsc,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,above,700,BNB $700 target
bsc,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,below,400,BNB $400 support
